"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Trendon Watford","PF","POR",62,56,39.1,72,-181,7.4,3.8,2.1,1.1,0.5,0.2
"Jock Landale","C","PHX",69,52.8,25,75.2,141,6.6,4.1,1,0.9,0.2,0.4
"Isaiah Jackson","SF","IND",63,56.3,14.3,65.1,-124,7.2,4.5,0.8,0.8,0.5,1.5
"Davion Mitchell","PG","SAC",80,45.4,32,80.6,1,5.6,1.3,2.3,0.8,0.6,0.2
"James Wiseman","C","DET",45,55.8,20,70.1,-327,10,5.9,0.7,1.1,0.2,0.6
"Victor Oladipo","SG","MIA",42,39.7,33,74.7,-35,10.7,3,3.5,2.1,1.4,0.3
"Larry Nance Jr.","PF","NOP",65,61,33.3,69.6,185,6.8,5.4,1.8,0.6,0.9,0.6
"Jeff Green","PF","DEN",56,48.8,28.8,74.4,-193,7.8,2.6,1.2,0.8,0.3,0.3
"Mitchell Robinson","C","NYK",59,67.1,0,48.4,185,7.4,9.4,0.9,0.7,0.9,1.8
"Terence Davis","SG","SAC",64,42.3,36.6,79.1,47,6.7,2.2,1,0.8,0.7,0.2
"Xavier Tillman","F","MEM",61,61.4,26.7,55.1,-1,7,5,1.6,0.7,1,0.5
"Cory Joseph","PG","DET",62,42.7,38.9,79.2,-110,6.9,1.7,3.5,0.9,0.5,0.1
"Kenrich Williams","SF","OKC",53,51.7,37.3,43.6,75,8,4.9,2,0.6,0.8,0.3
"Jaden Hardy","G","DAL",48,43.8,40.4,82.3,-32,8.8,1.9,1.4,1,0.4,0.1
"Anthony Lamb","F","GSW",62,47.1,36.7,76.7,32,6.7,3.5,1.5,0.9,0.5,0.3
"Kevin Knox II","SF","POR",63,45.8,34.9,76.7,-226,6.6,2.8,0.5,0.8,0.4,0.2
"Patrick Beverley","PG","CHI",67,40,33.5,72.3,-80,6.2,3.7,2.9,0.9,0.9,0.6
"Jordan Goodwin","G","WAS",62,44.8,32.2,76.8,-117,6.6,3.3,2.7,0.9,0.9,0.4
"Isaiah Hartenstein","C","NYK",82,53.5,21.6,67.6,151,5,6.5,1.2,0.8,0.6,0.8
"Andre Drummond","C","CHI",67,60.6,0,53.6,25,6,6.6,0.5,1.1,0.7,0.4
"Oshae Brissett","SF","IND",65,38.6,31,71.7,22,6.1,3.4,0.7,0.5,0.5,0.2
"Gary Harris","SG","ORL",48,45,43.1,90,-84,8.3,2,1.2,0.6,0.9,0.2
"Jalen Johnson","SF","ATL",70,49.1,28.8,62.8,-10,5.6,4,1.2,0.6,0.5,0.5
"Cam Reddish","SF","POR",40,44.6,31.3,85.3,-193,9.7,2.2,1.4,1.2,1,0.3
"Mark Williams","C","CHA",43,63.7,0,69.1,-79,9,7.1,0.4,0.9,0.7,1
"John Wall","PG","LAC",34,40.7,30.3,68.1,-106,11.4,2.7,5.2,2.4,0.8,0.4
"Mike Muscala","C","BOS",63,44.9,39.1,76.9,204,6.1,3.2,0.8,0.4,0.2,0.4
"Will Barton","G","TOR",56,37.9,36.7,78.7,-168,6.8,2.4,2,0.9,0.5,0.2
"Edmond Sumner","PG","BKN",53,46.1,35.6,91.7,25,7.1,1.5,1.3,0.9,0.6,0.2
"Alex Caruso","SG","CHI",67,45.5,36.4,80.8,199,5.6,2.9,2.9,1.1,1.5,0.7
"Josh Christopher","SG","HOU",64,46.5,23.6,75,-225,5.8,1.1,1.1,0.9,0.5,0.2
"Wenyen Gabriel","F","LAL",68,59.6,27.8,61.9,-32,5.5,4.2,0.5,0.7,0.4,0.5
"Delon Wright","SG","WAS",50,47.4,34.5,86.7,69,7.4,3.6,3.9,0.9,1.8,0.3
"JaMychal Green","F","GSW",57,54,37.8,77.6,-156,6.4,3.6,0.9,0.9,0.4,0.4
"Goran Dragic","PG","MIL",58,42.1,35.9,68.9,5,6.3,1.4,2.6,1.1,0.2,0.1
"John Konchar","SG","MEM",72,43.1,33.9,77.8,209,5.1,4.3,1.4,0.5,1.1,0.3
"Nickeil Alexander-Walker","SG","MIN",59,44.4,38.4,66.7,-51,6.2,1.7,1.8,0.9,0.5,0.4
"Chris Duarte","SG","IND",46,36.9,31.6,84.7,-114,7.9,2.5,1.4,0.9,0.5,0.2
"Dario Saric","PF","OKC",57,45.8,39.1,82.9,37,6.4,3.6,1.3,1,0.4,0.1
"Steven Adams","C","MEM",42,59.7,0,36.4,243,8.6,11.5,2.3,1.9,0.9,1.1
"Christian Braun","G","DEN",76,49.5,35.4,62.5,-114,4.7,2.4,0.8,0.5,0.5,0.2
"Nassir Little","SF","POR",54,44.2,36.7,71.7,-190,6.6,2.6,0.9,0.7,0.4,0.4
"Isaiah Livers","PF","DET",52,41.7,36.5,82.1,-202,6.7,2.8,0.8,0.6,0.5,0.5
"Landry Shamet","SG","PHX",40,37.7,37.7,88.2,38,8.7,1.7,2.3,0.9,0.7,0.1
"Lamar Stevens","F","CLE",62,44.8,31.6,70.2,6,5.3,3.3,0.5,0.4,0.4,0.3
"Simone Fontecchio","F","UTA",52,36.9,33,79.5,-205,6.3,1.7,0.8,0.8,0.3,0.2
"Mo Bamba","C","LAL",49,48.5,38.7,66.1,8,6.6,4.6,0.9,0.6,0.3,0.9
"Yuta Watanabe","SF","BKN",58,49.1,44.4,72.3,-7,5.6,2.4,0.8,0.4,0.4,0.3
"Chimezie Metu","PF","SAC",66,58.9,23.7,74,88,4.9,3,0.6,0.5,0.3,0.3
"Montrezl Harrell","C","PHI",57,59.8,0,69.3,19,5.6,2.8,0.6,0.6,0.3,0.4
"Derrick Jones Jr.","SF","CHI",64,50,33.8,73.8,122,5,2.4,0.5,0.4,0.5,0.6
"Joe Ingles","SG","MIL",46,43.5,40.9,85.7,80,6.9,2.8,3.3,1.2,0.7,0.1
"T.J. Warren","SF","PHX",42,48.9,32.8,80,55,7.5,2.9,1,0.5,0.5,0.3
"Ty Jerome","SG","GSW",45,48.8,38.9,92.7,-92,6.9,1.7,3,0.7,0.5,0.1
"Moses Moody","SG","GSW",63,47.6,36.3,69.8,-7,4.8,1.7,0.8,0.5,0.3,0.1
"R.J. Hampton","PG","DET",47,43,35.3,75,-140,6.4,1.9,1.1,0.9,0.6,0.2
"Romeo Langford","SG","SAS",43,46.7,26.2,69.6,-180,6.9,2.7,1.2,0.7,0.6,0.3
"Vlatko Cancar","SF","DEN",60,47.6,37.4,92.7,-66,5,2.1,1.3,0.6,0.4,0.2
"Theo Maledon","PG","CHA",44,40.2,29.5,85.1,-147,6.7,2.8,3.5,1.3,0.8,0.3
"Matisse Thybulle","SG","POR",71,43.5,36.5,67.9,-14,4.1,2,0.7,0.3,1.2,0.5
"Rudy Gay","SF","UTA",56,37.8,25.2,85.7,57,5.2,2.9,1,0.7,0.3,0.3
"Jeremiah Robinson-Earl","PF","OKC",43,44.4,33.3,83.3,-10,6.8,4.2,1,0.4,0.6,0.3
"Ben Simmons","PG","BKN",42,56.6,0,43.9,40,6.9,6.3,6.1,2.3,1.3,0.6
"Kris Dunn","G","UTA",22,53.7,47.2,77.4,-62,13.2,4.5,5.6,1.6,1.1,0.5
"Jaylin Williams","F","OKC",49,43.6,40.7,70.4,-90,5.9,4.9,1.6,0.8,0.6,0.2
"Robert Covington","PF","LAC",48,44.5,39.7,75,-7,6,3.5,1.2,0.7,0.8,0.7
"Paul Reed","SF","PHI",69,59.3,16.7,74.5,-17,4.2,3.8,0.4,0.7,0.7,0.7
"Jae'Sean Tate","SF","HOU",31,48,28.3,72.5,-94,9.1,3.8,2.7,1.5,0.7,0.2
"Robert Williams III","C","BOS",35,74.7,0,61,173,8,8.3,1.4,1,0.6,1.4
"Eugene Omoruyi","F","DET",40,44.3,28.1,68,-41,7,2.8,0.7,0.8,0.7,0.1
"Zeke Nnaji","PF","DEN",53,56.1,26.2,64.5,-97,5.2,2.6,0.3,0.6,0.3,0.4
"Aleksej Pokusevski","F","OKC",34,43.4,36.5,62.9,-196,8.1,4.7,1.9,1.3,0.6,1.3
"Payton Pritchard","PG","BOS",48,41.2,36.4,75,12,5.6,1.8,1.3,0.8,0.3,0
"Danuel House Jr.","SF","PHI",56,47.2,33.6,75,-16,4.8,1.7,0.8,0.5,0.2,0.2
"Duncan Robinson","F","MIA",42,37.1,32.8,90.6,-56,6.4,1.6,1.1,0.7,0.3,0
"MarJon Beauchamp","F","MIL",52,39.5,33.1,73,-99,5.1,2.2,0.7,0.9,0.4,0.1
"P.J. Tucker","PF","PHI",75,42.7,39.3,82.6,135,3.5,3.9,0.8,0.6,0.5,0.2
"Bismack Biyombo","C","PHX",61,57.8,0,35.7,48,4.3,4.3,0.9,0.8,0.3,1.4
"Sandro Mamukelashvili","PF","SAS",43,42.2,30.3,68.4,-114,6.1,4.3,1.4,0.8,0.3,0.3
"JT Thor","F","CHA",69,39.9,31.7,70.2,-163,3.8,2.2,0.5,0.6,0.3,0.3
"Willy Hernangomez","C","NOP",38,52.7,27.3,77.9,19,6.9,4.7,0.9,1,0.4,0.3
"Luke Kornet","C","BOS",69,66.5,23.1,82.1,61,3.8,2.9,0.8,0.4,0.2,0.7
"Garrison Mathews","SG","ATL",54,36.3,35,90.6,-87,4.8,1.4,0.5,0.4,0.4,0.1
"Austin Rivers","SG","MIN",52,43.5,35,76.9,-142,4.9,1.6,1.4,0.4,0.5,0.1
"Ish Wainright","F","PHX",60,37,32.9,83.9,92,4.2,2.3,0.9,0.4,0.6,0.4
"Aaron Holiday","G","ATL",63,41.8,40.9,84.4,17,3.9,1.2,1.4,0.6,0.6,0.2
"Bryce McGowens","G","CHA",46,39.6,32.5,75,-150,5.3,2,1.2,0.9,0.3,0.1
"Malachi Flynn","PG","TOR",53,36,35.3,75.8,-40,4.6,1.4,1.3,0.5,0.4,0.1
"Patty Mills","PG","BKN",40,41.1,36.6,83.3,-66,6.2,1.1,1.4,0.8,0.4,0.1
"Duane Washington Jr.","PG","NYK",31,36.7,36,66.7,-6,7.9,1.2,2,1.1,0.2,0.1
