"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Shaedon Sharpe",77,200,"Kentucky","Canada","2022","1","7","SG","POR",80,47.2,36,71.4,-297,9.9,3,1.2,1,0.5,0.3
"Shai Gilgeous-Alexander",78,195,"Kentucky","Canada","2018","1","11","PG","OKC",68,51,34.5,90.5,149,31.4,4.8,5.5,2.8,1.6,1
"Shake Milton",77,205,"Southern Methodist","USA","2018","2","54","SG","PHI",76,47.9,37.8,85.3,144,8.4,2.5,3.2,1.2,0.3,0.2
"Shaquille Harrison",76,195,"Tulsa","USA","Undrafted","Undrafted","Undrafted","G","LAL",5,41.7,30,73.3,-1,8.8,4.4,6,1.2,2.2,0.4
"Simone Fontecchio",79,209,"None","Italy","Undrafted","Undrafted","Undrafted","F","UTA",52,36.9,33,79.5,-205,6.3,1.7,0.8,0.8,0.3,0.2
"Skylar Mays",76,205,"Louisiana State","USA","2020","2","50","SG","POR",6,50,46.2,92.3,-74,15.3,3.2,8.3,1.7,1,0.2
"Spencer Dinwiddie",77,215,"Colorado","USA","2014","2","38","PG","BKN",79,43.8,36.9,81.2,-8,17.3,3.4,6.5,1.8,0.8,0.3
"Stanley Johnson",78,242,"Arizona","USA","2015","1","8","SF","SAS",30,53.3,45,66.7,-92,5.8,3.2,2.2,1.1,0.5,0.2
"Stanley Umude",78,210,"Arkansas","USA","Undrafted","Undrafted","Undrafted","G","DET",1,0,0,100,3,2,0,0,0,1,1
"Stephen Curry",74,185,"Davidson","USA","2009","1","7","PG","GSW",56,49.3,42.7,91.5,268,29.4,6.1,6.3,3.2,0.9,0.4
"Sterling Brown",77,219,"Southern Methodist","USA","2017","2","46","N/A","LAL",4,0,0,0,-4,0,2,0.5,0,0.8,0
"Steven Adams",83,265,"Pittsburgh","New Zealand","2013","1","12","C","MEM",42,59.7,0,36.4,243,8.6,11.5,2.3,1.9,0.9,1.1
"Svi Mykhailiuk",79,205,"Kansas","Ukraine","2018","2","47","SG","CHA",32,44.5,42.4,66.7,20,6.9,1.7,1.7,0.8,0.5,0.1
"T.J. McConnell",73,190,"Arizona","USA","2015","0",NA,"PG","IND",75,54.3,44.1,85.3,-62,8.7,3.1,5.3,1.9,1.1,0.1
"T.J. Warren",80,220,"North Carolina State","USA","2014","1","14","SF","PHX",42,48.9,32.8,80,55,7.5,2.9,1,0.5,0.5,0.3
"Taj Gibson",81,232,"Southern California","USA","2009","1","26","F","WAS",49,52,33.3,71.4,-4,3.4,1.9,0.7,0.5,0.3,0.2
"Talen Horton-Tucker",76,234,"Iowa State","USA","2019","2","46","SG","UTA",65,41.9,28.6,75,-8,10.7,3.2,3.8,1.9,0.6,0.4
"Tari Eason",80,215,"Louisiana State","USA","2022","1","17","F","HOU",82,44.8,34.3,75.2,-157,9.3,6,1.1,1.2,1.2,0.6
"Taurean Prince",78,218,"Baylor","USA","2016","1","12","PF","MIN",54,46.7,38.1,84.4,0,9.1,2.4,1.6,1.3,0.5,0.3
"Terance Mann",77,215,"Florida State","USA","2019","2","48","SG","LAC",81,51.9,38.9,78,2,8.8,3.4,2.3,1,0.5,0.3
"Terence Davis",76,201,"Mississippi","USA","Undrafted","Undrafted","Undrafted","SG","SAC",64,42.3,36.6,79.1,47,6.7,2.2,1,0.8,0.7,0.2
"Terrence Ross",79,206,"Washington","USA","2012","1","8","G","PHX",63,43,36.8,79.4,-76,8.3,2.4,1.5,0.7,0.6,0.2
"Terry Rozier",73,190,"Louisville","USA","2015","1","16","SG","CHA",63,41.5,32.7,80.9,-288,21.1,4.1,5.1,2.1,1.2,0.3
"Terry Taylor",76,230,"Austin Peay","USA","Undrafted","Undrafted","Undrafted","F","CHI",31,52,26.3,54.5,18,2.9,1.5,0.3,0.3,0.1,0.2
"Thaddeus Young",80,235,"Georgia Tech","USA","2007","1","12","PF","TOR",54,54.5,17.6,69.2,-92,4.4,3.1,1.4,0.8,1,0.1
"Thanasis Antetokounmpo",79,219,"None","Greece","2014","2","51","SF","MIL",37,43.5,0,50,-114,1.4,1.2,0.4,0.3,0.1,0.1
"Theo Maledon",77,175,"None","France","2020","2","34","PG","CHA",44,40.2,29.5,85.1,-147,6.7,2.8,3.5,1.3,0.8,0.3
"Theo Pinson",79,212,"North Carolina","USA","Undrafted","Undrafted","Undrafted","G","DAL",40,35.6,35.5,84.6,-50,2.4,1.6,1.1,0.3,0.1,0
"Thomas Bryant",82,248,"Indiana","USA","2017","2","42","C","DEN",59,62.3,44.1,73.8,-93,9.8,5.7,0.5,0.6,0.3,0.5
"Tim Hardaway Jr.",77,205,"Michigan","USA","2013","1","24","SF","DAL",71,40.1,38.5,77,160,14.4,3.5,1.8,0.8,0.7,0.2
"Tobias Harris",79,226,"Tennessee","USA","2011","1","19","PF","PHI",74,50.1,38.9,87.6,296,14.7,5.7,2.5,1.2,0.9,0.5
"Tony Bradley",83,248,"North Carolina","USA","2017","1","28","C","CHI",12,50,60,100,11,1.6,0.9,0.1,0.1,0.1,0.1
"Torrey Craig",79,221,"South Carolina Upstate","USA","Undrafted","Undrafted","Undrafted","SF","PHX",79,45.6,39.5,71.1,-177,7.4,5.4,1.5,0.9,0.6,0.8
"Trae Young",73,164,"Oklahoma","USA","2018","1","5","PG","ATL",73,42.9,33.5,88.6,100,26.2,3,10.2,4.1,1.1,0.1
"Tre Jones",73,185,"Duke","USA","2020","2","41","PG","SAS",68,45.9,28.5,86,-325,12.9,3.6,6.6,1.6,1.3,0.1
"Tre Mann",75,178,"Florida","USA","2021","1","18","PG","OKC",67,39.3,31.5,76.4,57,7.7,2.3,1.8,0.9,0.6,0.2
"Trendon Watford",80,237,"Louisiana State","USA","Undrafted","Undrafted","Undrafted","PF","POR",62,56,39.1,72,-181,7.4,3.8,2.1,1.1,0.5,0.2
"Trent Forrest",76,210,"Florida State","USA","Undrafted","Undrafted","Undrafted","G","ATL",23,41.7,0,66.7,-58,2.3,1.6,1.7,0.7,0.3,0.1
"Trevelin Queen",78,190,"New Mexico State","USA","Undrafted","Undrafted","Undrafted","SG","IND",7,24.1,13.3,100,14,3,2.4,0.9,1,0.3,0.7
"Trevor Hudgins",72,180,"Northwest Missouri St.","USA","Undrafted","Undrafted","Undrafted","G","HOU",5,22.2,25,100,3,1.8,0,0.6,0.2,0,0
"Trevor Keels",76,221,"Duke","USA","2022","2","42","G","NYK",3,25,25,0,-18,1,0.7,0,0,0,0
"Trey Lyles",81,234,"Kentucky","Canada","2015","1","12","PF","SAC",74,45.8,36.3,81.5,105,7.6,4.1,0.9,0.9,0.4,0.4
"Trey Murphy III",80,206,"Virginia","USA","2021","1","17","SG","NOP",79,48.4,40.6,90.5,38,14.5,3.6,1.4,0.8,1.1,0.5
"Troy Brown Jr.",79,215,"Oregon","USA","2018","1","15","SF","LAL",76,43,38.1,87.2,-15,7.1,4.1,1.2,0.6,0.8,0.2
"Ty Jerome",77,195,"Virginia","USA","2019","1","24","SG","GSW",45,48.8,38.9,92.7,-92,6.9,1.7,3,0.7,0.5,0.1
"Tyler Dorsey",76,180,"Oregon","USA","2017","2","41","G","DAL",3,80,50,0,2,3,0.7,0,0,0,0
"Tyler Herro",77,195,"Kentucky","USA","2019","1","13","PG","MIA",67,43.9,37.8,93.4,170,20.1,5.4,4.2,2.4,0.8,0.2
"Tyrese Haliburton",77,185,"Iowa State","USA","2020","1","12","PG","IND",56,49,40,87.1,-35,20.7,3.7,10.4,2.5,1.6,0.4
"Tyrese Martin",78,215,"Connecticut","USA","2022","2","51","G","ATL",16,39.1,14.3,100,1,1.3,0.8,0.1,0.1,0.1,0
"Tyrese Maxey",74,200,"Kentucky","USA","2020","1","21","PG","PHI",60,48.1,43.4,84.5,241,20.3,2.9,3.5,1.3,0.8,0.1
"TyTy Washington Jr.",75,195,"Kentucky","USA","2022","1","29","G","HOU",31,36.3,23.8,55.6,-47,4.7,1.5,1.5,0.5,0.5,0.1
"Tyus Jones",74,196,"Duke","USA","2015","1","24","PG","MEM",80,43.8,37.1,80.6,95,10.3,2.5,5.2,0.9,1,0.1
"Udoka Azubuike",83,270,"Kansas","Nigeria","2020","1","27","C","UTA",36,81.9,0,35,-83,3.5,3.3,0.3,0.5,0.2,0.4
"Udonis Haslem",79,235,"Florida","USA","Undrafted","Undrafted","Undrafted","PF","MIA",7,34.5,33.3,80,-25,3.9,1.6,0,0.1,0.1,0.3
"Usman Garuba",80,229,"None","Spain","2021","1","23","PF","HOU",75,48.6,40.7,61.7,-253,3,4.1,0.9,0.6,0.6,0.4
"Vernon Carey Jr.",82,270,"Duke","USA","2020","2","32","C","UTA",11,25,0,100,-10,0.5,1,0.3,0.2,0.2,0.2
"Victor Oladipo",75,213,"Indiana","USA","2013","1","2","SG","MIA",42,39.7,33,74.7,-35,10.7,3,3.5,2.1,1.4,0.3
"Vince Williams Jr.",76,205,"Virginia Commonwealth","USA","2022","2","47","G","MEM",15,30,14.3,100,-34,2,1,0.3,0.3,0.4,0.1
"Walker Kessler",84,245,"Auburn","USA","2022","1","22","C","UTA",74,72,33.3,51.6,72,9.2,8.4,0.9,0.8,0.4,2.3
"Wendell Carter Jr.",82,270,"Duke","USA","2018","1","7","C","ORL",57,52.5,35.6,73.8,-41,15.2,8.7,2.3,1.9,0.5,0.6
"Wendell Moore Jr.",77,215,"Duke","USA","2022","1","26","G","MIN",29,41.9,11.8,80,-53,1.4,0.6,0.6,0.3,0.3,0.2
"Wenyen Gabriel",81,205,"Kentucky","South Sudan","Undrafted","Undrafted","Undrafted","F","LAL",68,59.6,27.8,61.9,-32,5.5,4.2,0.5,0.7,0.4,0.5
"Wesley Matthews",77,220,"Marquette","USA","Undrafted","Undrafted","Undrafted","SG","MIL",52,36.3,31.5,85.7,53,3.4,2.2,0.7,0.3,0.4,0.2
"Will Barton",77,181,"Memphis","USA","2012","2","40","G","TOR",56,37.9,36.7,78.7,-168,6.8,2.4,2,0.9,0.5,0.2
"Willy Hernangomez",83,250,"None","Spain","2015","2","35","C","NOP",38,52.7,27.3,77.9,19,6.9,4.7,0.9,1,0.4,0.3
"Xavier Cooks",80,183,"Winthrop","Australia","Undrafted","Undrafted","Undrafted","G","WAS",10,60.7,0,40,19,3.8,3.8,0.6,0.8,0.6,0.4
"Xavier Moon",72,165,"Morehead State","USA","Undrafted","Undrafted","Undrafted","PG","LAC",4,33.3,33.3,0,3,1.8,0.8,1.2,0.2,0,0
"Xavier Sneed",77,215,"Kansas State","USA","Undrafted","Undrafted","Undrafted","F","CHA",4,50,50,100,-28,4.2,1.2,1.2,0.8,0,0.2
"Xavier Tillman",79,245,"Michigan State","USA","2020","2","35","F","MEM",61,61.4,26.7,55.1,-1,7,5,1.6,0.7,1,0.5
"Yuta Watanabe",80,215,"George Washington","Japan","Undrafted","Undrafted","Undrafted","SF","BKN",58,49.1,44.4,72.3,-7,5.6,2.4,0.8,0.4,0.4,0.3
"Zach Collins",83,250,"Gonzaga","USA","2017","1","10","PF","SAS",63,51.8,37.4,76.1,-239,11.6,6.4,2.9,2,0.6,0.8
"Zach LaVine",77,200,"UCLA","USA","2014","1","13","SG","CHI",77,48.5,37.5,84.8,18,24.8,4.5,4.2,2.5,0.9,0.2
"Zeke Nnaji",81,240,"Arizona","USA","2020","1","22","PF","DEN",53,56.1,26.2,64.5,-97,5.2,2.6,0.3,0.6,0.3,0.4
"Ziaire Williams",81,185,"Stanford","USA","2021","1","10","F","MEM",37,42.9,25.8,77.3,-76,5.7,2.1,0.9,1,0.4,0.2
"Zion Williamson",78,284,"Duke","USA","2019","1","1","PF","NOP",29,60.8,36.8,71.4,149,26,7,4.6,3.4,1.1,0.6
