"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Lamar Stevens",78,230,"Penn State","USA","Undrafted","Undrafted","Undrafted","F","CLE",62,44.8,31.6,70.2,6,5.3,3.3,0.5,0.4,0.4,0.3
"LaMelo Ball",79,180,"None","USA","2020","1","3","PG","CHA",36,41.1,37.6,84.3,-150,23.3,6.4,8.4,3.6,1.3,0.3
"Landry Shamet",76,190,"Wichita State","USA","2018","1","26","SG","PHX",40,37.7,37.7,88.2,38,8.7,1.7,2.3,0.9,0.7,0.1
"Larry Nance Jr.",80,245,"Wyoming","USA","2015","1","27","PF","NOP",65,61,33.3,69.6,185,6.8,5.4,1.8,0.6,0.9,0.6
"Lauri Markkanen",84,240,"Arizona","Finland","2017","1","7","PF","UTA",66,49.9,39.2,87.5,163,25.6,8.6,1.9,1.9,0.6,0.6
"Leandro Bolmaro",78,200,"None","Argentina","2020","1","23","F","UTA",14,15,0,0,2,0.4,0.5,0.5,0.5,0.2,0.1
"LeBron James",81,250,"None","USA","2003","1","1","SF","LAL",55,50,32.1,76.8,214,28.9,8.3,6.8,3.2,0.9,0.6
"Lester Quinones",76,208,"Memphis","USA","Undrafted","Undrafted","Undrafted","G","GSW",4,40,50,66.7,6,2.5,0.8,0.5,1.2,0.2,0
"Lindell Wigginton",73,189,"Iowa State","Canada","2019",NA,NA,"G","MIL",7,48.6,33.3,88.9,-39,7.1,1,2,1.7,0,0.3
"Lindy Waters III",78,210,"Oklahoma State","USA","Undrafted","Undrafted","Undrafted","F","OKC",41,39.3,35.8,80,136,5.2,1.8,0.7,0.2,0.3,0.3
"Lonnie Walker IV",76,204,"Miami","USA","2018","1","18","G","LAL",56,44.8,36.5,85.8,-207,11.7,1.9,1.1,0.8,0.5,0.3
"Louis King",79,205,"Oregon","USA","Undrafted","Undrafted","Undrafted","SF","PHI",1,61.5,50,0,2,20,4,2,2,1,0
"Luguentz Dort",76,220,"Arizona State","Canada","Undrafted","Undrafted","Undrafted","G","OKC",74,38.8,33,77.2,34,13.7,4.6,2.1,1.2,1,0.3
"Luka Garza",82,243,"Iowa","USA","2021","2","52","C","MIN",28,54.3,35.9,78.8,18,6.5,2.2,0.6,0.5,0.1,0.1
"Luka Samanic",82,227,"None","Croatia","2019","1","19","F","UTA",7,45.6,25.8,69.2,-6,9.9,4.3,2.1,1.4,0.9,0.3
"Luke Kennard",77,206,"Duke","USA","2017","1","12","SG","MEM",59,49.2,49.4,94.9,211,9.3,2.7,1.5,0.8,0.5,0.1
"Luke Kornet",86,250,"Vanderbilt","USA","Undrafted","Undrafted","Undrafted","C","BOS",69,66.5,23.1,82.1,61,3.8,2.9,0.8,0.4,0.2,0.7
"Mac McClung",74,185,"Texas Tech","USA","Undrafted","Undrafted","Undrafted","SG","PHI",2,45,36.4,60,18,12.5,5,4.5,1.5,0,0
"Malachi Flynn",73,175,"San Diego State","USA","2020","1","29","PG","TOR",53,36,35.3,75.8,-40,4.6,1.4,1.3,0.5,0.4,0.1
"Malaki Branham",76,180,"Ohio State","USA","2022","1","20","G","SAS",66,44,30.2,82.9,-364,10.2,2.7,1.9,1.2,0.5,0.1
"Malcolm Brogdon",76,229,"Virginia","USA","2016","2","36","PG","BOS",67,48.4,44.4,87,182,14.9,4.2,3.7,1.5,0.7,0.3
"Malcolm Hill",78,220,"Illinois","USA","Undrafted","Undrafted","Undrafted","F","CHI",5,50,33.3,0,9,1,0.6,0,0,0,0
"Malik Beasley",76,187,"Florida State","USA","2016","1","19","SG","LAL",81,39.5,35.7,76.9,-87,12.7,3.5,1.5,1.1,0.8,0.1
"Malik Monk",75,200,"Kentucky","USA","2017","1","11","SG","SAC",77,44.8,35.9,88.9,68,13.5,2.6,3.9,1.9,0.6,0.3
"Mamadi Diakite",81,228,"Virginia","Guinea","Undrafted","Undrafted","Undrafted","F","CLE",22,48,33.3,100,-9,2.6,1.4,0.4,0.5,0.2,0.4
"Marcus Morris Sr.",80,218,"Kansas","USA","2011","1","14","SF","LAC",65,42.6,36.5,78.2,-16,11.2,4,1.8,0.9,0.6,0.3
"Marcus Smart",76,220,"Oklahoma State","USA","2014","1","6","PG","BOS",61,41.5,33.6,74.6,240,11.5,3.1,6.3,2.3,1.5,0.4
"MarJon Beauchamp",79,199,"None","USA","2022","1","24","F","MIL",52,39.5,33.1,73,-99,5.1,2.2,0.7,0.9,0.4,0.1
"Mark Williams",84,240,"Duke","USA","2022","1","15","C","CHA",43,63.7,0,69.1,-79,9,7.1,0.4,0.9,0.7,1
"Markelle Fultz",76,209,"Washington","USA","2017","1","1","PG","ORL",60,51.4,31,78.3,-130,13.9,3.9,5.7,2.3,1.4,0.4
"Markieff Morris",81,245,"Kansas","USA","2011","1","13","PF","DAL",35,40.9,39.4,100,10,3.8,2,0.9,0.5,0.3,0.1
"Marko Simonovic",84,220,"None","Montenegro","2020","2","44","C","CHI",7,28.6,25,50,15,0.9,0.3,0,0,0,0
"Marvin Bagley III",82,235,"Duke","USA","2018","1","2","PF","DET",42,52.9,28.8,75,-229,12,6.4,0.9,1.1,0.5,0.7
"Mason Plumlee",84,254,"Duke","USA","2013","1","22","C","LAC",79,68,0,63.6,-269,10.8,8.9,3.1,1.5,0.6,0.6
"Matisse Thybulle",77,201,"Washington","USA","2019","1","20","SG","POR",71,43.5,36.5,67.9,-14,4.1,2,0.7,0.3,1.2,0.5
"Matt Ryan",78,215,"Tennessee-Chattanooga","USA","Undrafted","Undrafted","Undrafted","F","MIN",34,37,38.1,83.3,21,3.6,0.8,0.5,0.2,0.1,0
"Matthew Dellavedova",75,200,"Saint Mary's","Australia","Undrafted","Undrafted","Undrafted","PG","SAC",32,34,33.3,57.1,-51,1.5,0.4,1.3,0.3,0.2,0
"Max Christie",77,190,"Michigan State","USA","2022","2","35","G","LAL",41,41.5,41.9,87.5,-77,3.1,1.8,0.5,0.3,0.2,0.2
"Max Strus",77,215,"DePaul","USA","Undrafted","Undrafted","Undrafted","SG","MIA",80,41,35,87.6,-145,11.5,3.2,2.1,0.9,0.5,0.1
"Maxi Kleber",82,240,"None","Germany","Undrafted","Undrafted","Undrafted","PF","DAL",37,45.6,34.8,71.1,-43,5.9,3.6,1.4,0.7,0.3,0.8
"McKinley Wright IV",71,192,"Colorado","USA","Undrafted","Undrafted","Undrafted","PG","DAL",27,46.9,32.1,68.4,-110,4.2,1.7,2.1,0.7,0.3,0.2
"Meyers Leonard",84,260,"Illinois","USA","2012","1","11","C","MIL",9,48.3,38.9,88.9,-27,4.8,3.8,0.1,0.7,0.2,0
